Time,Treatment,Replicate,Cfu,Antibiotic_present,Donor,Resistant_focal_strain
0,Basal medium,1,841600,no,None,no
2,Basal medium,1,34320000,no,None,no
24,Basal medium,1,37600000,no,None,no
48,Basal medium,1,110400000,no,None,no
72,Basal medium,1,64600000,no,None,no
96,Basal medium,1,56400000,no,None,no
120,Basal medium,1,62000000,no,None,no
144,Basal medium,1,113800000,no,None,no
168,Basal medium,1,150400000,no,None,no
0,Basal medium,2,1203000,no,None,no
2,Basal medium,2,6640000,no,None,no
24,Basal medium,2,47800000,no,None,no
48,Basal medium,2,130400000,no,None,no
72,Basal medium,2,97800000,no,None,no
96,Basal medium,2,43000000,no,None,no
120,Basal medium,2,91400000,no,None,no
144,Basal medium,2,104800000,no,None,no
168,Basal medium,2,140800000,no,None,no
0,Basal medium,3,905600,no,None,no
2,Basal medium,3,7040000,no,None,no
24,Basal medium,3,48400000,no,None,no
48,Basal medium,3,118400000,no,None,no
72,Basal medium,3,71000000,no,None,no
96,Basal medium,3,45600000,no,None,no
120,Basal medium,3,67800000,no,None,no
144,Basal medium,3,126800000,no,None,no
168,Basal medium,3,147200000,no,None,no
0,Basal medium+Amp,1,873600,yes,None,no
2,Basal medium+Amp,1,36000000,yes,None,no
24,Basal medium+Amp,1,13040000,yes,None,no
48,Basal medium+Amp,1,90400000,yes,None,no
72,Basal medium+Amp,1,42000000,yes,None,no
96,Basal medium+Amp,1,24400000,yes,None,no
120,Basal medium+Amp,1,11200000,yes,None,no
144,Basal medium+Amp,1,31600000,yes,None,yes
168,Basal medium+Amp,1,27400000,yes,None,yes
0,Basal medium+Amp,2,821700,yes,None,no
2,Basal medium+Amp,2,24000000,yes,None,no
24,Basal medium+Amp,2,11600000,yes,None,no
48,Basal medium+Amp,2,51200000,yes,None,no
72,Basal medium+Amp,2,52800000,yes,None,no
96,Basal medium+Amp,2,29800000,yes,None,no
120,Basal medium+Amp,2,22400000,yes,None,no
144,Basal medium+Amp,2,15200000,yes,None,yes
168,Basal medium+Amp,2,29800000,yes,None,yes
0,Basal medium+Amp,3,741300,yes,None,no
2,Basal medium+Amp,3,17760000,yes,None,no
24,Basal medium+Amp,3,16800000,yes,None,no
48,Basal medium+Amp,3,88160000,yes,None,no
72,Basal medium+Amp,3,50800000,yes,None,no
96,Basal medium+Amp,3,30400000,yes,None,no
120,Basal medium+Amp,3,27000000,yes,None,no
144,Basal medium+Amp,3,16200000,yes,None,yes
168,Basal medium+Amp,3,61800000,yes,None,yes
0,Steile slurry human donor 1,1,892800,no,Human donor 1,no
2,Steile slurry human donor 1,1,22240000,no,Human donor 1,no
24,Steile slurry human donor 1,1,125600000,no,Human donor 1,no
48,Steile slurry human donor 1,1,53600000,no,Human donor 1,no
72,Steile slurry human donor 1,1,45400000,no,Human donor 1,no
96,Steile slurry human donor 1,1,101200000,no,Human donor 1,no
120,Steile slurry human donor 1,1,114600000,no,Human donor 1,no
144,Steile slurry human donor 1,1,220800000,no,Human donor 1,no
168,Steile slurry human donor 1,1,241660000,no,Human donor 1,no
0,Steile slurry human donor 1,2,813900,no,Human donor 1,no
2,Steile slurry human donor 1,2,10960000,no,Human donor 1,no
24,Steile slurry human donor 1,2,133600000,no,Human donor 1,no
48,Steile slurry human donor 1,2,184000000,no,Human donor 1,no
72,Steile slurry human donor 1,2,68200000,no,Human donor 1,no
96,Steile slurry human donor 1,2,97000000,no,Human donor 1,no
120,Steile slurry human donor 1,2,129400000,no,Human donor 1,no
144,Steile slurry human donor 1,2,316800000,no,Human donor 1,no
168,Steile slurry human donor 1,2,126400000,no,Human donor 1,no
0,Steile slurry human donor 1,3,563200,no,Human donor 1,no
2,Steile slurry human donor 1,3,6080000,no,Human donor 1,no
24,Steile slurry human donor 1,3,140000000,no,Human donor 1,no
48,Steile slurry human donor 1,3,74400000,no,Human donor 1,no
72,Steile slurry human donor 1,3,50000000,no,Human donor 1,no
96,Steile slurry human donor 1,3,127200000,no,Human donor 1,no
120,Steile slurry human donor 1,3,106600000,no,Human donor 1,no
144,Steile slurry human donor 1,3,256000000,no,Human donor 1,no
168,Steile slurry human donor 1,3,117000000,no,Human donor 1,no
0,Steile slurry human donor 1 + Amp,1,834300,yes,Human donor 1,no
2,Steile slurry human donor 1 + Amp,1,10400000,yes,Human donor 1,no
24,Steile slurry human donor 1 + Amp,1,16000000,yes,Human donor 1,no
48,Steile slurry human donor 1 + Amp,1,38240000,yes,Human donor 1,no
72,Steile slurry human donor 1 + Amp,1,20800000,yes,Human donor 1,no
96,Steile slurry human donor 1 + Amp,1,73400000,yes,Human donor 1,no
120,Steile slurry human donor 1 + Amp,1,16800000,yes,Human donor 1,yes
144,Steile slurry human donor 1 + Amp,1,23000000,yes,Human donor 1,yes
168,Steile slurry human donor 1 + Amp,1,13000000,yes,Human donor 1,yes
0,Steile slurry human donor 1 + Amp,2,352000,yes,Human donor 1,no
2,Steile slurry human donor 1 + Amp,2,6240000,yes,Human donor 1,no
24,Steile slurry human donor 1 + Amp,2,10240000,yes,Human donor 1,no
48,Steile slurry human donor 1 + Amp,2,44960000,yes,Human donor 1,no
72,Steile slurry human donor 1 + Amp,2,10200000,yes,Human donor 1,no
96,Steile slurry human donor 1 + Amp,2,38400000,yes,Human donor 1,no
120,Steile slurry human donor 1 + Amp,2,11600000,yes,Human donor 1,yes
144,Steile slurry human donor 1 + Amp,2,69400000,yes,Human donor 1,yes
168,Steile slurry human donor 1 + Amp,2,44100000,yes,Human donor 1,yes
0,Steile slurry human donor 1 + Amp,3,483200,yes,Human donor 1,no
2,Steile slurry human donor 1 + Amp,3,7080000,yes,Human donor 1,no
24,Steile slurry human donor 1 + Amp,3,13860000,yes,Human donor 1,no
