Approach,Inoculation density,Replicate,Ampicillin_Concentration_micrograms_per_ml,density_0h,density_24h,difference_t24-t0
OD,10^9,1,16,0.646399975,0.850899994,0.204500019
OD,10^9,2,16,0.700699985,0.719200015,0.01850003
OD,10^9,3,16,0.638199985,0.808399975,0.17019999
OD,10^9,1,8,0.607500017,0.934700012,0.327199995
OD,10^9,2,8,0.7051,0.99089998,0.28579998
OD,10^9,3,8,0.578199983,0.929799974,0.351599991
OD,10^9,1,4,0.569000006,0.973100007,0.404100001
OD,10^9,2,4,0.583299994,0.936200023,0.352900029
OD,10^9,3,4,0.3847,0.903699994,0.518999994
OD,10^9,1,0,0.623399973,1.043400049,0.420000076
OD,10^9,2,0,0.680299997,1.061699986,0.381399989
OD,10^9,3,0,0.484600008,1.057299972,0.572699964
OD,10^8,1,16,0.109499998,0.082800001,-0.026699997
OD,10^8,2,16,0.106899999,0.092299998,-0.014600001
OD,10^8,3,16,0.099699996,0.0814,-0.018299996
OD,10^8,1,16,0.156599998,0.097499996,-0.059100002
OD,10^8,2,8,0.107000001,0.203899994,0.096899993
OD,10^8,3,8,0.103600003,0.239700004,0.136100001
OD,10^8,1,8,0.105999999,0.300099999,0.1941
OD,10^8,2,8,0.123099998,0.048599999,-0.074499999
OD,10^8,3,4,0.109300002,0.556699991,0.447399989
OD,10^8,1,4,0.108499996,0.560800016,0.45230002
OD,10^8,2,4,0.109200001,0.562399983,0.453199982
OD,10^8,3,4,0.046399999,0.5722,0.525800001
OD,10^8,1,0,0.107500002,0.991299987,0.883799985
OD,10^8,2,0,0.100400001,0.944299996,0.843899995
OD,10^8,3,0,0.097900003,0.852199972,0.754299969
OD,10^8,1,0,0.117299996,0.944199979,0.826899983
OD,10^7,2,16,0.059799999,0.0537,-0.006099999
OD,10^7,3,16,0.061999999,0.0557,-0.006299999
OD,10^7,1,16,0.0583,0.0515,-0.0068
OD,10^7,2,16,0.050299998,0.049699999,-0.000599999
OD,10^7,3,8,0.057700001,0.057700001,0
OD,10^7,1,8,0.059500001,0.0579,-0.001600001
OD,10^7,2,8,0.057100002,0.381799996,0.324699994
OD,10^7,3,8,0.051199999,0.050500002,-0.000699997
OD,10^7,1,4,0.057599999,0.638599992,0.580999993
OD,10^7,2,4,0.058600001,0.584599972,0.525999971
OD,10^7,3,4,0.0561,0.700699985,0.644599985
OD,10^7,1,4,0.1193,0.695900023,0.576600023
OD,10^7,2,0,0.057399999,0.957300007,0.899900008
OD,10^7,3,0,0.058899999,0.924099982,0.865199983
OD,10^7,1,0,0.057700001,0.921599984,0.863899983
OD,10^7,2,0,0.0504,0.925199986,0.874799986
OD,10^6,3,16,0.0506,0.050700001,0.000100001
OD,10^6,1,16,0.054200001,0.050299998,-0.003900003
OD,10^6,2,16,0.047499999,0.047600001,0.000100002
OD,10^6,3,16,0.048,0.048,0
OD,10^6,1,8,0.0493,0.0493,0
OD,10^6,2,8,0.051399998,0.050900001,-0.000499997
OD,10^6,3,8,0.047400001,0.047800001,0.0004
OD,10^6,1,8,0.048799999,0.050099999,0.0013
OD,10^6,2,4,0.050000001,0.491699994,0.441699993
OD,10^6,3,4,0.052299999,0.486499995,0.434199996
OD,10^6,1,4,0.048,0.593900025,0.545900025
OD,10^6,2,4,0.0491,0.492300004,0.443200004
OD,10^6,3,0,0.050099999,0.972299993,0.922199994
OD,10^6,1,0,0.050000001,0.942099988,0.892099987
OD,10^6,2,0,0.048500001,0.943899989,0.895399988
OD,10^6,3,0,0.049600001,0.941100001,0.8915
Plate count CFU,10^9,1,16,376000000,12000000000,11624000000
Plate count CFU,10^9,2,16,512000000,11760000000,11248000000
Plate count CFU,10^9,3,16,568000000,16400000000,15832000000
Plate count CFU,10^9,1,8,408000000,19120000000,18712000000
Plate count CFU,10^9,2,8,704000000,15840000000,15136000000
Plate count CFU,10^9,3,8,440000000,29120000000,28680000000
Plate count CFU,10^9,1,4,608000000,24240000000,23632000000
Plate count CFU,10^9,2,4,544000000,37200000000,36656000000
Plate count CFU,10^9,3,4,808000000,34640000000,33832000000
Plate count CFU,10^9,1,0,496000000,31520000000,31024000000
Plate count CFU,10^9,2,0,832000000,40960000000,40128000000
Plate count CFU,10^9,3,0,952000000,44320000000,43368000000
Plate count CFU,10^8,1,16,44800000,31200,-44768800
Plate count CFU,10^8,2,16,36800000,59200,-36740800
Plate count CFU,10^8,3,16,31200000,32800,-31167200
Plate count CFU,10^8,1,8,46400000,152400000,106000000
Plate count CFU,10^8,2,8,54400000,88000000,33600000
Plate count CFU,10^8,3,8,37600000,124800000,87200000
Plate count CFU,10^8,1,4,11200000,37490000000,37478800000
Plate count CFU,10^8,2,4,52000000,26400000000,26348000000
Plate count CFU,10^8,3,4,89600000,32480000000,32390400000
Plate count CFU,10^8,1,0,45600000,42960000000,42914400000
Plate count CFU,10^8,2,0,16000000,36720000000,36704000000
Plate count CFU,10^8,3,0,45400000,39280000000,39234600000
Plate count CFU,10^7,1,16,3200000,0,-3200000
Plate count CFU,10^7,2,16,2880000,0,-2880000
Plate count CFU,10^7,3,16,6080000,0,-6080000
Plate count CFU,10^7,1,8,5440000,810,-5439190
Plate count CFU,10^7,2,8,3040000,770,-3039230
