Treatment,Replicate,CFU_start_0h,CFU_end_24h,Community,Antibiotic,Donor,Strain,Matlhusian_Parameter,Selection_rate
Sterile,1,4600000,346000000,no,no,D1,Ancestor Human Donor 1,4.32038247,
Sterile,2,7200000,292000000,no,no,D1,Ancestor Human Donor 1,3.70267278,
Sterile,3,9600000,152000000,no,no,D1,Ancestor Human Donor 1,2.76211742,
Sterile_IC90,1,5200000,80000000,no,yes,D1,Ancestor Human Donor 1,2.73336801,
Sterile_IC90,2,4800000,37000000,no,yes,D1,Ancestor Human Donor 1,2.04230199,
Sterile_IC90,3,13000000,45400000,no,yes,D1,Ancestor Human Donor 1,1.25056275,
Sterile_3xIC90,1,10400000,32000000,no,yes,D1,Ancestor Human Donor 1,1.1239301,
Sterile_3xIC90,2,7200000,15000000,no,yes,D1,Ancestor Human Donor 1,0.73396918,
Sterile_3xIC90,3,7800000,36000000,no,yes,D1,Ancestor Human Donor 1,1.5293952,
Community,1,10000000,2680000,yes,no,D1,Ancestor Human Donor 1,-1.3167683,
Community,2,8400000,6420000,yes,no,D1,Ancestor Human Donor 1,-0.2688136,
Community,3,7600000,2240000,yes,no,D1,Ancestor Human Donor 1,-1.2216724,
Community_IC90,1,5200000,5600000,yes,yes,D1,Ancestor Human Donor 1,0.07410797,
Community_IC90,2,7200000,2880000,yes,yes,D1,Ancestor Human Donor 1,-0.9162907,
Community_IC90,3,8000000,2520000,yes,yes,D1,Ancestor Human Donor 1,-1.1551826,
Community_3xIC90,1,7000000,400000,yes,yes,D1,Ancestor Human Donor 1,-2.8622009,
Community_3xIC90,2,10600000,1,yes,yes,D1,Ancestor Human Donor 1,-16.176365,
Community_3xIC90,3,7600000,1,yes,yes,D1,Ancestor Human Donor 1,-15.843659,
Sterile,1,1636000,334000000,no,no,D1,Mutant Human Donor 1,5.31888675,0.99850428
Sterile,2,1744000,240000000,no,no,D1,Mutant Human Donor 1,4.9244576,1.22178482
Sterile,3,1336000,618000000,no,no,D1,Mutant Human Donor 1,6.13680838,3.37469096
Sterile_IC90,1,2112000,346000000,no,yes,D1,Mutant Human Donor 1,5.09880341,2.3654354
Sterile_IC90,2,2364000,286000000,no,yes,D1,Mutant Human Donor 1,4.79563671,2.75333472
Sterile_IC90,3,1408000,272000000,no,yes,D1,Mutant Human Donor 1,5.26363181,4.01306906
Sterile_3xIC90,1,2096000,114800000,no,yes,D1,Mutant Human Donor 1,4.00316072,2.87923062
Sterile_3xIC90,2,1324000,79200000,no,yes,D1,Mutant Human Donor 1,4.09131884,3.35734967
Sterile_3xIC90,3,1776000,80400000,no,yes,D1,Mutant Human Donor 1,3.81265053,2.28325533
Community,1,1732000,800000,yes,no,D1,Mutant Human Donor 1,-0.7724204,0.54434794
Community,2,2432000,1,yes,no,D1,Mutant Human Donor 1,-14.704225,-14.435411
Community,3,1864000,1,yes,no,D1,Mutant Human Donor 1,-14.438235,-13.216563
Community_IC90,1,2792000,1,yes,yes,D1,Mutant Human Donor 1,-14.842269,-14.916377
Community_IC90,2,2712000,1,yes,yes,D1,Mutant Human Donor 1,-14.813197,-13.896906
Community_IC90,3,4072000,1,yes,yes,D1,Mutant Human Donor 1,-15.219645,-14.064462
Community_3xIC90,1,2288000,1,yes,yes,D1,Mutant Human Donor 1,-14.643189,-11.780988
Community_3xIC90,2,3480000,1,yes,yes,D1,Mutant Human Donor 1,-15.062543,1.11382171
Community_3xIC90,3,4384000,1,yes,yes,D1,Mutant Human Donor 1,-15.293472,0.5501867
Sterile,1,4200000,76400000,no,no,D3,Ancestor Human Donor 3,2.90089817,
Sterile,2,7800000,60400000,no,no,D3,Ancestor Human Donor 3,2.04686537,
Sterile,3,5400000,57200000,no,no,D3,Ancestor Human Donor 3,2.36015494,
Sterile_IC90,1,5600000,34000000,no,yes,D3,Ancestor Human Donor 3,1.80359393,
Sterile_IC90,2,7400000,24000000,no,yes,D3,Ancestor Human Donor 3,1.17657383,
Sterile_IC90,3,9000000,24000000,no,yes,D3,Ancestor Human Donor 3,0.98082925,
Sterile_3xIC90,1,8200000,26000000,no,yes,D3,Ancestor Human Donor 3,1.15396238,
Sterile_3xIC90,2,8000000,18000000,no,yes,D3,Ancestor Human Donor 3,0.81093022,
Sterile_3xIC90,3,7600000,12000000,no,yes,D3,Ancestor Human Donor 3,0.4567584,
Community,1,4000000,182000000,yes,no,D3,Ancestor Human Donor 3,3.81771233,
Community,2,7000000,102000000,yes,no,D3,Ancestor Human Donor 3,2.67906266,
Community,3,4400000,80000000,yes,no,D3,Ancestor Human Donor 3,2.90042209,
Community_IC90,1,4400000,740000,yes,yes,D3,Ancestor Human Donor 3,-1.7827096,
Community_IC90,2,5600000,220000,yes,yes,D3,Ancestor Human Donor 3,-3.2368943,
Community_IC90,3,5800000,1120000,yes,yes,D3,Ancestor Human Donor 3,-1.6445292,
Community_3xIC90,1,5200000,1300,yes,yes,D3,Ancestor Human Donor 3,-8.2940496,
Community_3xIC90,2,5600000,1020,yes,yes,D3,Ancestor Human Donor 3,-8.6107192,
Community_3xIC90,3,2800000,1220,yes,yes,D3,Ancestor Human Donor 3,-7.7385238,
Sterile,1,262000,73200000,no,no,D3,Mutant Human Donor 3,5.6326062,2.73170803
Sterile,2,308000,57600000,no,no,D3,Mutant Human Donor 3,5.23117806,3.18431269
Sterile,3,348000,34800000,no,no,D3,Mutant Human Donor 3,4.60517019,2.24501524
Sterile_IC90,1,270000,57000000,no,yes,D3,Mutant Human Donor 3,5.35238459,3.54879066
Sterile_IC90,2,288000,43000000,no,yes,D3,Mutant Human Donor 3,5.00599491,3.82942108
Sterile_IC90,3,342000,47800000,no,yes,D3,Mutant Human Donor 3,4.93997018,3.95914093
Sterile_3xIC90,1,174000,22000000,no,yes,D3,Mutant Human Donor 3,4.83974243,3.68578005
Sterile_3xIC90,2,290000,32000000,no,yes,D3,Mutant Human Donor 3,4.70361026,3.89268004
Sterile_3xIC90,3,252000,40000000,no,yes,D3,Mutant Human Donor 3,5.06720565,4.61044724
Community,1,274000,528000,yes,no,D3,Mutant Human Donor 3,0.65596818,-3.1617441
Community,2,350000,1,yes,no,D3,Mutant Human Donor 3,-12.765688,-15.444751
Community,3,354000,1,yes,no,D3,Mutant Human Donor 3,-12.777052,-15.677474
Community_IC90,1,324000,1,yes,yes,D3,Mutant Human Donor 3,-12.688499,-10.905789
Community_IC90,2,236000,1,yes,yes,D3,Mutant Human Donor 3,-12.371587,-9.1346928
Community_IC90,3,322000,1,yes,yes,D3,Mutant Human Donor 3,-12.682307,-11.037778
Community_3xIC90,1,296000,1,yes,yes,D3,Mutant Human Donor 3,-12.598115,-4.3040651
Community_3xIC90,2,318000,1,yes,yes,D3,Mutant Human Donor 3,-12.669807,-4.0590874
Community_3xIC90,3,264000,1,yes,yes,D3,Mutant Human Donor 3,-12.483704,-4.7451805
Sterile,1,2600000,286000000,no,no,D1,Ancestor Transconjugantconjugant,4.70048037,
Sterile,2,2800000,218000000,no,no,D1,Ancestor Transconjugantconjugant,4.35487565,
Sterile,3,3000000,226000000,no,no,D1,Ancestor Transconjugantconjugant,4.32192271,
Sterile_IC90,1,2600000,184000000,no,yes,D1,Ancestor Transconjugantconjugant,4.25942431,
Sterile_IC90,2,760000,182000000,no,yes,D1,Ancestor Transconjugantconjugant,5.47844353,
Sterile_IC90,3,3000000,166000000,no,yes,D1,Ancestor Transconjugantconjugant,4.0133755,
Sterile_3xIC90,1,3000000,49000000,no,yes,D1,Ancestor Transconjugantconjugant,2.79320801,
Sterile_3xIC90,2,3200000,48000000,no,yes,D1,Ancestor Transconjugantconjugant,2.7080502,
Sterile_3xIC90,3,3600000,46000000,no,yes,D1,Ancestor Transconjugantconjugant,2.54770755,
Community,1,1800000,18000000,yes,no,D1,Ancestor Transconjugantconjugant,2.30258509,
Community,2,3000000,18000000,yes,no,D1,Ancestor Transconjugantconjugant,1.79175947,
Community,3,2400000,16000000,yes,no,D1,Ancestor Transconjugantconjugant,1.89711998,
Community_IC90,1,2800000,2000000,yes,yes,D1,Ancestor Transconjugantconjugant,-0.3364722,
Community_IC90,2,2000000,1,yes,yes,D1,Ancestor Transconjugantconjugant,-14.508658,
Community_IC90,3,2000000,1,yes,yes,D1,Ancestor Transconjugantconjugant,-14.508658,
Community_3xIC90,1,1400000,1,yes,yes,D1,Ancestor Transconjugantconjugant,-14.151983,
Community_3xIC90,2,2600000,1,yes,yes,D1,Ancestor Transconjugantconjugant,-14.771022,
Community_3xIC90,3,2000000,1,yes,yes,D1,Ancestor Transconjugantconjugant,-14.508658,
Sterile,1,2000000,140000000,no,no,D1,Transconjugant,4.24849524,-0.4519851
Sterile,2,1800000,136000000,no,no,D1,Transconjugant,4.32486822,-0.0300074
Sterile,3,2400000,116000000,no,no,D1,Transconjugant,3.87812145,-0.4438013
Sterile_IC90,1,1040000,96000000,no,yes,D1,Transconjugant,4.52512748,0.26570317
Sterile_IC90,2,520000,232000000,no,yes,D1,Transconjugant,6.10066384,0.62222031
Sterile_IC90,3,4200000,204000000,no,yes,D1,Transconjugant,3.88303547,-0.13034
Sterile_3xIC90,1,3000000,188000000,no,yes,D1,Transconjugant,4.13782967,1.34462166
Sterile_3xIC90,2,200000,222000000,no,yes,D1,Transconjugant,7.01211529,4.30406509
Sterile_3xIC90,3,2400000,158000000,no,yes,D1,Transconjugant,4.1871263,1.63941874
Community,1,600000,46000000,yes,no,D1,Transconjugant,4.33946702,2.03688193
Community,2,1400000,66000000,yes,no,D1,Transconjugant,3.85318251,2.06142304
Community,3,2000000,36000000,yes,no,D1,Transconjugant,2.89037176,0.99325177
Community_IC90,1,1800000,16000000,yes,yes,D1,Transconjugant,2.18480206,2.52127429
Community_IC90,2,1600000,30000000,yes,yes,D1,Transconjugant,2.93119375,17.4398515
Community_IC90,3,3200000,56000000,yes,yes,D1,Transconjugant,2.86220088,17.3708586
Community_3xIC90,1,800000,14000000,yes,yes,D1,Transconjugant,2.86220088,17.0141837
Community_3xIC90,2,1400000,10000000,yes,yes,D1,Transconjugant,1.96611286,16.7371349
