Isolate,Replicate,Conc_Amp_ug/ml,OD
Ancestor focal strain,1,0,0.819100022
Ancestor focal strain,2,0,0.794499993
Ancestor focal strain,3,0,0.857900023
Ancestor focal strain,1,4,0.426999986
Ancestor focal strain,2,4,0.419800013
Ancestor focal strain,3,4,0.449999988
Ancestor focal strain,1,8,0.050500002
Ancestor focal strain,2,8,0.0493
Ancestor focal strain,3,8,0.048900001
Ancestor focal strain,1,16,0.048099998
Ancestor focal strain,2,16,0.0469
Ancestor focal strain,3,16,0.0447
Ancestor focal strain,1,20,0.047699999
Ancestor focal strain,2,20,0.0462
Ancestor focal strain,3,20,0.045400001
Ancestor focal strain,1,26,0.047600001
Ancestor focal strain,2,26,0.0462
Ancestor focal strain,3,26,0.046300001
Ancestor focal strain,1,30,0.047899999
Ancestor focal strain,2,30,0.046500001
Ancestor focal strain,3,30,0.049199998
Ancestor focal strain,1,60,0.047699999
Ancestor focal strain,2,60,0.046700001
Ancestor focal strain,3,60,0.046700001
Basal+Amp 1,1,0,0.641799986
Basal+Amp 1,2,0,0.668799996
Basal+Amp 1,3,0,0.649500012
Basal+Amp 1,1,4,0.618700027
Basal+Amp 1,2,4,0.639500022
Basal+Amp 1,3,4,0.631299973
Basal+Amp 1,1,8,0.566200018
Basal+Amp 1,2,8,0.52759999
Basal+Amp 1,3,8,0.580799997
Basal+Amp 1,1,16,0.218400002
Basal+Amp 1,2,16,0.202700004
Basal+Amp 1,3,16,0.264899999
Basal+Amp 1,1,20,0.046599999
Basal+Amp 1,2,20,0.046399999
Basal+Amp 1,3,20,0.047600001
Basal+Amp 1,1,26,0.047899999
Basal+Amp 1,2,26,0.046700001
Basal+Amp 1,3,26,0.048
Basal+Amp 1,1,30,0.048300002
Basal+Amp 1,2,30,0.046300001
Basal+Amp 1,3,30,0.047699999
Basal+Amp 1,1,60,0.0484
Basal+Amp 1,2,60,0.046599999
Basal+Amp 1,3,60,0.048500001
Basal+Amp 2,1,0,0.823700011
Basal+Amp 2,2,0,0.808000028
Basal+Amp 2,3,0,0.712599993
Basal+Amp 2,1,4,0.727599978
Basal+Amp 2,2,4,0.791199982
Basal+Amp 2,3,4,0.743399978
Basal+Amp 2,1,8,0.702899992
Basal+Amp 2,2,8,0.762099981
Basal+Amp 2,3,8,0.675700009
Basal+Amp 2,1,16,0.476300001
Basal+Amp 2,2,16,0.509899974
Basal+Amp 2,3,16,0.501100004
Basal+Amp 2,1,20,0.304800004
Basal+Amp 2,2,20,0.302300006
Basal+Amp 2,3,20,0.304500014
Basal+Amp 2,1,26,0.117200002
Basal+Amp 2,2,26,0.0579
Basal+Amp 2,3,26,0.070699997
Basal+Amp 2,1,30,0.047800001
Basal+Amp 2,2,30,0.0513
Basal+Amp 2,3,30,0.048099998
Basal+Amp 2,1,60,0.0471
Basal+Amp 2,2,60,0.047699999
Basal+Amp 2,3,60,0.048500001
Basal+Amp 3,1,0,0.764400005
Basal+Amp 3,2,0,0.747399986
