Day 2,,,,,,,,,,,,
Plate,1,2,3,4,5,6,7,8,9,10,11,12
Meidum,Mock,Mock,Mock,Mock,Neg. ctrl,Neg. ctrl,Neg. ctrl,Neg. ctrl,Pos. miR-21,Pos. miR-21,Pos. miR-21,Pos. miR-21
Size (um),7.487,11.806,9.373,9.477,12.379,13.177,9.854,8.507,11.846,9.59,9.049,13.256
,9.215,,9.649,10.91,8.98,7.161,,,,,7.897,9.68
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Day 4,,,,,,,,,,,,
Plate,1,2,3,4,5,6,7,8,9,10,11,12
Meidum,Mock,Mock,Mock,Mock,Neg. ctrl,Neg. ctrl,Neg. ctrl,Neg. ctrl,Pos. miR-21,Pos. miR-21,Pos. miR-21,Pos. miR-21
Size (um),9.38,9.659,27.077,29.512,18.873,22.282,18.615,20.495,12.25,12.134,24.651,0
,,,9.35,12.692,22.698,12.134,,19.976,,27.43,17.769,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Day 7,,,,,,,,,,,,
Plate,1,2,3,4,5,6,7,8,9,10,11,12
Meidum,Mock,Mock,Mock,Mock,Neg. ctrl,Neg. ctrl,Neg. ctrl,Neg. ctrl,Pos. miR-21,Pos. miR-21,Pos. miR-21,Pos. miR-21
Size (um),19.74,36.667,33.764,59.231,29.615,30.179,28.205,20.556,0,0,27.99,0
,12.12,,17.769,31.308,34.128,24.793,,,,,16.794,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Day 9,,,,,,,,,,,,
Plate,1,2,3,4,5,6,7,8,9,10,11,12
Meidum,Mock,Mock,Mock,Mock,Neg. ctrl,Neg. ctrl,Neg. ctrl,Neg. ctrl,Pos. miR-21,Pos. miR-21,Pos. miR-21,Pos. miR-21
Size (um),32.892,45.855,36.486,36.853,42.675,40.802,35.256,31.632,0,0,0,0
Day 3,,,,,,,,,,,,
